"","Region","Site","Session","Station","Scientific.Name","DateTimeOriginal","FileName","Notes","Ind"
"1","Westeros","North","WS2022","TB05","Viverra tangalunga",2020-11-06 00:06:08,"2020 11 06 00 06 18.MP4",NA,NA
"2","Westeros","North","WS2022","TB05","Viverra tangalunga",2020-11-17 04:30:28,"2020 11 17 04 30 38.MP4",NA,NA
"3","Westeros","North","WS2022","TB05","Viverra tangalunga",2020-11-27 01:30:07,"2020 11 27 01 30 18.MP4",NA,NA
"4","Westeros","North","WS2023","TB10","Arctictis binturong",2020-12-13 05:30:18,"2020 12 13 05 30 14.JPG",NA,NA
"5","Westeros","North","WS2023","TB10","Arctictis binturong",2020-12-13 05:30:19,"2020 12 13 05 30 26.JPG",NA,NA
"6","Westeros","North","WS2023","TB10","Arctictis binturong",2020-12-13 05:30:20,"2020 12 13 05 30 20.JPG",NA,NA
"7","Westeros","North","WS2023","TB10","Arctictis binturong",2020-12-13 05:30:21,"2020 12 13 05 30 22.JPG",NA,NA
"8","Westeros","North","WS2023","TB10","Neofelis diardi",2020-11-23 07:30:29,"2020 11 23 07 30 27.JPG",NA,NA
"9","Westeros","North","WS2023","TB10","Neofelis diardi",2020-11-23 07:30:30,"2020 11 23 07 30 30.JPG",NA,NA
"10","Westeros","North","WS2023","TB10","Neofelis diardi",2020-11-23 07:30:31,"2020 11 23 07 30 32.JPG",NA,NA
"11","Westeros","North","WS2023","TB10","StartEnd",2020-10-29 15:40:21,"2020 10 29 15 40 20.JPG",NA,NA
"12","Westeros","North","WS2023","TB10","StartEnd",2021-01-22 16:42:15,"2021 01 22 16 42 16.JPG",NA,NA
"13","Westeros","North","WS2023","TB10","Tragulus kanchil",2021-01-11 00:50:47,"2021 01 11 00 50 43.JPG",NA,NA
"14","Westeros","North","WS2023","TB10","Tragulus kanchil",2021-01-11 00:50:48,"2021 01 11 00 50 48.JPG",NA,NA
"15","Westeros","North","WS2023","TB10","Tragulus kanchil",2021-01-11 00:50:49,"2021 01 11 00 50 50.JPG",NA,NA
"16","Westeros","North","WS2023","TB10","Tragulus kanchil",2021-01-19 08:14:28,"2021 01 19 08 14 22.JPG",NA,NA
"17","Westeros","North","WS2023","TB10","Tragulus kanchil",2021-01-19 08:14:29,"2021 01 19 08 14 20.JPG",NA,NA
"18","Westeros","North","WS2023","TB10","Tragulus kanchil",2021-01-19 08:14:30,"2021 01 19 08 14 30.JPG",NA,NA
"19","Westeros","Dorne","WS2020","RKGA_002","Neofelis diardi",2023-05-14 07:42:00,"2020 10 17 19 39 08.AVI",NA,NA
